X--Trace 1::[AC: FREQUENCY],Mag: Response 2,Phase: Response 2
10,19.79032986,-0.649447809
11.22018454,19.79231211,-0.729831303
12.58925412,19.78618704,-0.849309237
14.12537545,19.78905018,-0.908472097
15.84893192,19.78690917,-1.046747156
17.7827941,19.78479528,-1.168565357
19.95262315,19.78137495,-1.312628848
22.38721139,19.781211,-1.455560566
25.11886432,19.77739871,-1.658508698
28.18382931,19.77536207,-1.85139831
31.6227766,19.77219576,-2.090221793
35.48133892,19.77341231,-2.337954232
39.81071706,19.76993274,-2.597291627
44.66835922,19.76397652,-2.922999543
50.11872336,19.7627522,-3.287514436
56.23413252,19.75069487,-3.682802881
63.09573445,19.74681922,-4.123168724
70.79457844,19.73830467,-4.635767718
79.43282347,19.73035889,-5.183564094
89.12509381,19.71806366,-5.798054509
100,19.70638839,-6.559400217
112.2018454,19.69285195,-7.317624852
125.8925412,19.67941026,-8.204070365
141.2537545,19.65934445,-9.23659774
158.4893192,19.63440169,-10.31005643
177.827941,19.61166296,-11.57169482
199.5262315,19.58404454,-12.98217399
223.8721139,19.55302602,-14.55625065
251.1886432,19.51270965,-16.31743533
281.8382931,19.47156327,-18.26971928
316.227766,19.41436154,-20.49150458
354.8133892,19.35155286,-23.00828301
398.1071706,19.27700059,-25.80365335
446.6835922,19.03597607,-29.8009738
501.1872336,18.38225793,-35.59916736
562.3413252,17.34237242,-42.80247782
630.9573445,16.08244928,-50.82086665
707.9457844,14.79704055,-59.09183974
794.3282347,13.57124864,-67.46736835
891.2509381,12.44093127,-75.94187195
1000,11.41042505,-84.5608125
1122.018454,10.46302159,-93.70332028
1258.925412,9.573952216,-103.6346514
1412.537545,8.703128075,-114.601561
1584.893192,7.799460748,-126.8434588
1778.27941,6.800323028,-140.5120552
1995.262315,5.705060957,-155.0517356
2238.721139,4.557067242,-169.6808498
2511.886432,3.454388342,-184.4952491
2818.382931,2.538234638,-196.8386567
3162.27766,1.821085742,-207.3587109
3548.133892,1.289344899,-216.1968677
3981.071706,0.907505883,-223.589713
4466.835922,0.63773935,-229.8021543
5011.872336,0.448061377,-235.0884026
5623.413252,0.315559315,-239.5671708
6309.573445,0.22246953,-243.6051034
7079.457844,0.157041443,-247.1104607
7943.282347,0.11090102,-249.9937156
8912.509381,0.078431472,-252.8931449
10000,0.05546692,-255.4370441
11220.18454,0.039388984,-257.7975576
12589.25412,0.028028074,-259.5716014
14125.37545,0.020105283,-261.5527404
15848.93192,0.013822162,-264.2788078
17782.7941,0.010120708,-266.2999109
19952.62315,0.007146977,-271.8428556
22387.21139,0.00513806,-272.0018968
25118.86432,0.003463573,-271.4862583
28183.82931,0.002521589,-275.1272046
31622.7766,0.001656475,-273.5479277
35481.33892,0.001257287,-446.0274948
39810.71706,0.000901215,-482.2085816
44668.35922,0.000892701,-229.2862012
50118.72336,0.000972347,-287.0082359
56234.13252,0.001510321,-277.8079181
63095.73445,0.001178647,-182.3332321
70794.57844,0.0011743,-280.4587586
79432.82347,0.001358281,-252.1075874
89125.09381,0.001844253,-361.5965737
100000,0.001860881,-431.316691
